pe_code,title,personnel_count,watchers,watcher_tenants,change_events_30d,priority_score
0603827A,Soldier Systems - Advanced Development,0,0,0,0,5
0603829J,Joint Capability Experimentation,0,0,0,0,5
0603851F,Intercontinental Ballistic Missile - Dem/Val,0,0,0,0,5
0603851M,Joint Non-Lethal Weapons Testing,0,0,0,0,5
0603860D,Counter-UAS Defeat,0,0,0,0,5
0603860N,Joint Precision Approach and Landing Systems - Dem/Val,0,0,0,0,5
0603882C,Ballistic Missile Defense Midcourse Defense Segment,0,0,0,0,5
0603884C,Ballistic Missile Defense Sensors,0,0,0,0,5
0603890C,BMD Enabling Programs,0,0,0,0,5
0603891C,Special Programs - MDA,0,0,0,0,5
0603892C,AEGIS BMD,0,0,0,0,5
0603896C,Ballistic Missile Defense Command and Control, Battle Management and Communications (C2BMC),0,0,0,0,5
0603898C,Ballistic Missile Defense Joint Warfighter Support,0,0,0,0,5
0603904C,Missile Defense Integration & Operations Center (MDIOC),0,0,0,0,5
0603906C,Regarding Trench,0,0,0,0,5
0603907C,Sea Based X-Band Radar (SBX),0,0,0,0,5
0603913C,Israeli Cooperative Programs,0,0,0,0,5
0603915C,Ballistic Missile Defense Targets,0,0,0,0,5
0603920A,Humanitarian Demining,0,0,0,0,5
0603925N,Directed Energy and Electric Weapon Systems,0,0,0,0,5
0604001F,NC3 Advanced Concepts,0,0,0,0,5
0604003F,Advanced Battle Management System (ABMS),0,0,0,0,5
0604004F,Advanced Engine Development,0,0,0,0,5
0604005F,NC3 Commercial Development & Prototyping,0,0,0,0,5
0604007F,E-7,0,0,0,0,5
0604009F,AFWERX,0,0,0,0,5
0604010F,Next Generation Adaptive Propulsion,0,0,0,0,5
0604014N,F/A -18 Infrared Search and Track (IRST),0,0,0,0,5
0604015F,Long Range Strike - Bomber,0,0,0,0,5
0604017A,Robotics Development,0,0,0,0,5
0604019A,Expanded Mission Area Missile (EMAM),0,0,0,0,5
0604020A,Cross Functional Team (CFT) Advanced Development & Prototyping,0,0,0,0,5
0604025F,Rapid Defense Experimentation Reserve (RDER),0,0,0,0,5
0604025M,Rapid Defense Experimentation Reserve (RDER),0,0,0,0,5
0604027N,Digital Warfare Office,0,0,0,0,5
0604028N,Small and Medium Unmanned Undersea Vehicles,0,0,0,0,5
0604029N,Unmanned Undersea Vehicle Core Technologies,0,0,0,0,5
0604030N,Rapid Prototyping, Experimentation and Demonstration.,0,0,0,0,5
0604031N,Large Unmanned Undersea Vehicles,0,0,0,0,5
0604032F,Directed Energy Prototyping,0,0,0,0,5
0604033F,Hypersonics Prototyping,0,0,0,0,5
0604035A,Low Earth Orbit (LEO) Satellite Capability,0,0,0,0,5
0604036A,Multi-Domain Sensing System (MDSS) Adv Dev,0,0,0,0,5
0604037A,Tactical Intel Targeting Access Node (TITAN) Adv Dev,0,0,0,0,5
0604038N,Maritime Targeting Cell,0,0,0,0,5
0604100A,Analysis Of Alternatives,0,0,0,0,5
0604101A,Small Unmanned Aerial Vehicle (SUAV) (6.4),0,0,0,0,5
0604102C,Guam Defense Development,0,0,0,0,5
0604103A,Electronic Warfare Planning and Management Tool (EWPMT),0,0,0,0,5
0604114A,Lower Tier Air Missile Defense (LTAMD) Sensor,0,0,0,0,5
0604115A,Technology Maturation Initiatives,0,0,0,0,5
0604115C,Technology Maturation Initiatives,0,0,0,0,5
0604117A,Maneuver - Short Range Air Defense (M-SHORAD),0,0,0,0,5
0604119A,Army Advanced Component Development & Prototyping,0,0,0,0,5
0604120A,Assured Positioning, Navigation and Timing (PNT),0,0,0,0,5
0604121A,Synthetic Training Environment Refinement & Prototyping,0,0,0,0,5
0604127N,Surface Mine Countermeasures,0,0,0,0,5
0604130V,Enterprise Security System (ESS),0,0,0,0,5
0604135A,Strategic Mid-Range Fires,0,0,0,0,5
0604181C,Hypersonic Defense,0,0,0,0,5
0604183F,Hypersonics Prototyping - Hypersonic Attack Cruise Missile (HACM),0,0,0,0,5
0604200F,Future Advanced Weapon Analysis & Programs,0,0,0,0,5
0604201A,Aircraft Avionics,0,0,0,0,5
0604201F,PNT Resiliency, Mods, and Improvements,0,0,0,0,5
0604212M,Other Helo Development,0,0,0,0,5
0604212N,Other Helo Development,0,0,0,0,5
0604214M,AV-8B Aircraft - Eng Dev,0,0,0,0,5
0604215N,Standards Development,0,0,0,0,5
0604216N,Multi-Mission Helicopter Upgrade Development,0,0,0,0,5
0604221N,P-3 Modernization Program,0,0,0,0,5
0604222F,Nuclear Weapons Support,0,0,0,0,5
0604230N,Warfare Support System,0,0,0,0,5
0604231N,Command and Control Systems,0,0,0,0,5
0604233F,Specialized Undergraduate Flight Training,0,0,0,0,5
0604234N,Advanced Hawkeye,0,0,0,0,5
0604245M,H-1 Upgrades,0,0,0,0,5
0604251A,Army Autonomous Systems,0,0,0,0,5
0604252N,Navy Undersea AI,0,0,0,0,5
0604253F,AF Mission Data Fabric,0,0,0,0,5
0604254S,Space ISR Tasking,0,0,0,0,5
0604255D,Joint EW Interop,0,0,0,0,5
0604256A,Threat Simulator Development,0,0,0,0,5
0604256F,Threat Simulator Development,0,0,0,0,5
0604256N,Threat Simulator Development,0,0,0,0,5
0604257F,Advanced Technology and Sensors,0,0,0,0,5
0604258A,Target Systems Development,0,0,0,0,5
0604258N,Target Systems Development,0,0,0,0,5
0604261N,Acoustic Search Sensors,0,0,0,0,5
0604262N,V-22,0,0,0,0,5
0604264N,Air Crew Systems Development,0,0,0,0,5
0604269N,EA-18,0,0,0,0,5
0604270A,Electronic Warfare Development,0,0,0,0,5
0604270F,Electronic Warfare Development,0,0,0,0,5
0604270N,Electronic Warfare Development,0,0,0,0,5
0604272N,Tactical Air Directional Infrared Countermeasures (TADIRCM),0,0,0,0,5
0604273M,Executive Helo Development,0,0,0,0,5
0604274N,Next Generation Jammer (NGJ),0,0,0,0,5
0604280N,Joint Tactical Radio System - Navy (JTRS-Navy),0,0,0,0,5
0604282N,Next Generation Jammer (NGJ) Increment II,0,0,0,0,5
0604283F,Battle Mgmt Com & Ctrl Sensor Development,0,0,0,0,5
0604286N,Navy Advanced Manufacturing,0,0,0,0,5
0604287F,Physical Security Equipment,0,0,0,0,5
0604288F,Survivable Airborne Operations Center (SAOC),0,0,0,0,5
0604292N,Future Vertical Lift (Maritime Strike),0,0,0,0,5
0604295M,Marine Aviation Demonstration/Validation,0,0,0,0,5
0604307N,Surface Combatant Combat System Engineering,0,0,0,0,5
0604317F,Technology Transfer,0,0,0,0,5
0604320M,Rapid Technology Capability Prototype,0,0,0,0,5
0604327F,Hard and Deeply Buried Target Defeat System (HDBTDS) Program,0,0,0,0,5
0604329N,Small Diameter Bomb (SDB),0,0,0,0,5
0604331J,Rapid Prototyping Program,0,0,0,0,5
0604336F,Nuclear Delivery Systems Prototyping,0,0,0,0,5
0604366N,Standard Missile Improvements,0,0,0,0,5
0604373N,Airborne MCM,0,0,0,0,5
0604378N,Naval Integrated Fire Control - Counter Air Systems Engineering,0,0,0,0,5
0604386A,Biotechnology for Materials - Dem/Val,0,0,0,0,5
0604403A,Future Interceptor,0,0,0,0,5
0604419N,Advanced Sensors Application Program (ASAP),0,0,0,0,5
0604445F,Wide Area Surveillance,0,0,0,0,5
0604454N,LX (R),0,0,0,0,5
0604501N,Advanced Above Water Sensors,0,0,0,0,5
0604503N,Submarine SWFTS Modernization,0,0,0,0,5
0604504N,Air Control,0,0,0,0,5
0604512N,Shipboard Aviation Systems,0,0,0,0,5
0604516N,Ship Survivability,0,0,0,0,5
0604522N,Air and Missile Defense Radar (AMDR) System,0,0,0,0,5
0604530N,Advanced Arresting Gear (AAG),0,0,0,0,5
0604531A,Counter - Small Unmanned Aircraft Systems Advanced Development,0,0,0,0,5
0604536N,Advanced Undersea Prototyping,0,0,0,0,5
0604541A,Unified Network Transport,0,0,0,0,5
0604558N,New Design SSN,0,0,0,0,5
0604562N,Submarine Tactical Warfare System,0,0,0,0,5
0604567N,Ship Contract Design/ Live Fire T&E,0,0,0,0,5
0604574N,Navy Tactical Computer Resources,0,0,0,0,5
0604601A,Infantry Support Weapons,0,0,0,0,5
0604601N,Mine Development,0,0,0,0,5
0604602F,Armament/Ordnance Development,0,0,0,0,5
0604604A,Medium Tactical Vehicles,0,0,0,0,5
0604604F,Submunitions,0,0,0,0,5
0604609F,Requirements Analysis & Concept Maturation,0,0,0,0,5
0604610N,Lightweight Torpedo Development,0,0,0,0,5
0604611A,JAVELIN,0,0,0,0,5
0604617F,Agile Combat Support,0,0,0,0,5
0604622A,Family of Heavy Tactical Vehicles,0,0,0,0,5
0604633A,Air Traffic Control,0,0,0,0,5
0604636N,Counter Unmanned Aircraft Systems (C-UAS),0,0,0,0,5
0604642A,Light Tactical Wheeled Vehicles,0,0,0,0,5
0604645A,Armored Systems Modernization (ASM) - Eng Dev,0,0,0,0,5
0604654N,Joint Service Explosive Ordnance Development,0,0,0,0,5
0604657M,USMC Ground Combat/Supporting Arms Systems - Eng Dev,0,0,0,0,5
0604659N,Precision Strike Weapons Development Program,0,0,0,0,5
0604668F,Joint Transportation Management System (JTMS),0,0,0,0,5
0604703N,Personnel, Training, Simulation, and Human Factors,0,0,0,0,5
0604706F,Life Support Systems,0,0,0,0,5
0604710A,Night Vision Systems - Eng Dev,0,0,0,0,5
0604713A,Combat Feeding, Clothing, and Equipment,0,0,0,0,5
0604715A,Non-System Training Devices - Eng Dev,0,0,0,0,5
0604721A,Network C3 Resilience,0,0,0,0,5
0604727N,Joint Standoff Weapon Systems,0,0,0,0,5
0604741A,Air Defense Command, Control and Intelligence - Eng Dev,0,0,0,0,5
0604742A,Constructive Simulation Systems Development,0,0,0,0,5
0604746A,Automatic Test Equipment Development,0,0,0,0,5
0604755N,Ship Self Defense (Detect & Control),0,0,0,0,5
0604756N,Ship Self Defense (Engage: Hard Kill),0,0,0,0,5
0604757N,Ship Self Defense (Engage: Soft Kill/EW),0,0,0,0,5
0604759A,Major T&E Investment,0,0,0,0,5
0604759F,Major T&E Investment,0,0,0,0,5
0604759N,Major T&E Investment,0,0,0,0,5
0604760A,Distributive Interactive Simulations (DIS) - Eng Dev,0,0,0,0,5
0604761N,Intelligence Engineering,0,0,0,0,5
0604771N,Medical Development,0,0,0,0,5
0604776F,Deployment & Distribution Enterprise R&D,0,0,0,0,5
0604777N,Navigation/ID System,0,0,0,0,5
0604786N,Offensive Anti-Surface Warfare Weapon Development,0,0,0,0,5
0604798A,Brigade Analysis, Integration and Evaluation,0,0,0,0,5
0604804A,Logistics and Engineer Equipment - Eng Dev,0,0,0,0,5
0604805A,Command, Control, Communications Systems - Eng Dev,0,0,0,0,5
0604808A,Landmine Warfare/Barrier - Eng Dev,0,0,0,0,5
0604818A,Army Tactical Command & Control Hardware & Software,0,0,0,0,5
0604820A,Radar Development,0,0,0,0,5
0604822A,General Fund Enterprise Business System (GFEBS),0,0,0,0,5
0604826J,Joint C5 Capability Development, Integration and interoperability Assessments,0,0,0,0,5
0604827A,Soldier Systems - Warrior Dem/Val,0,0,0,0,5
0604840F,F-35 C2D2,0,0,0,0,5
0604840M,F-35 C2D2,0,0,0,0,5
0604840N,F-35 C2D2,0,0,0,0,5
0604850N,SSN(X),0,0,0,0,5
0604852A,Suite of Survivability Enhancement Systems - EMD,0,0,0,0,5
0604854A,Artillery Systems - EMD,0,0,0,0,5
0604858F,Tech Transition Program,0,0,0,0,5
0604860F,Operational Energy and Installation Resilience,0,0,0,0,5
0604873C,Long Range Discrimination Radar (LRDR),0,0,0,0,5
0604874C,Improved Homeland Defense Interceptors,0,0,0,0,5
0604876C,Ballistic Missile Defense Terminal Defense Segment Test,0,0,0,0,5
0604878C,Aegis BMD Test,0,0,0,0,5
0604879C,Ballistic Missile Defense Sensor Test,0,0,0,0,5
0604880C,Land-Based SM-3 (LBSM3),0,0,0,0,5
0604887C,Ballistic Missile Defense Midcourse Segment Test,0,0,0,0,5
0604932F,Long Range Standoff Weapon,0,0,0,0,5
0604933F,ICBM Fuze Modernization,0,0,0,0,5
0605001E,Mission Support,0,0,0,0,5
0605013A,Information Technology Development,0,0,0,0,5
0605013D,Trusted Microelectronics Transition,0,0,0,0,5
0605013M,Information Technology Development,0,0,0,0,5
0605013N,Information Technology Development,0,0,0,0,5
0605018A,Integrated Personnel and Pay System-Army (IPPS-A),0,0,0,0,5
0605018F,AF Integrated Personnel and Pay System (AF-IPPS),0,0,0,0,5
0605024A,Anti-Tamper Technology Support,0,0,0,0,5
0605024F,Anti-Tamper Technology Executive Agency,0,0,0,0,5
0605024N,Anti-Tamper Technology Support,0,0,0,0,5
0605030A,Joint Tactical Network Center (JTNC),0,0,0,0,5
0605030F,Joint Tactical Network Center (JTNC),0,0,0,0,5
0605031A,Joint Tactical Network (JTN),0,0,0,0,5
0605031F,Joint Tactical Network (JTN),0,0,0,0,5
0605035A,Common Infrared Countermeasures (CIRCM),0,0,0,0,5
0605036A,Combating Weapons of Mass Destruction (CWMD),0,0,0,0,5
0605037A,Evidence Collection and Detainee Processing,0,0,0,0,5
0605041A,Defensive CYBER Tool Development,0,0,0,0,5
0605042A,Tactical Network Radio Systems (Low-Tier),0,0,0,0,5
0605047A,Contract Writing System,0,0,0,0,5
0605049A,Missile Warning System Modernization (MWSM),0,0,0,0,5
0605051A,Aircraft Survivability Development,0,0,0,0,5
0605052A,Indirect Fire Protection Capability Inc 2 - Block 1,0,0,0,0,5
0605053A,Ground Robotics,0,0,0,0,5
0605054A,Emerging Technology Initiatives,0,0,0,0,5
0605056F,Open Architecture Management,0,0,0,0,5
0605057F,Next Generation Air-refueling System,0,0,0,0,5
0605080S,Defense Agency Initiatives (DAI) - Financial System,0,0,0,0,5
0605101F,RAND Project Air Force,0,0,0,0,5
0605103A,Rand Arroyo Center,0,0,0,0,5
0605117F,Foreign Materiel Acquisition and Exploitation,0,0,0,0,5
0605144A,Next Generation Load Device - Medium,0,0,0,0,5
0605148A,Tactical Intel Targeting Access Node (TITAN) EMD,0,0,0,0,5
0605152N,Studies and Analysis Support - Navy,0,0,0,0,5
0605154N,Center for Naval Analyses,0,0,0,0,5
0605164F,Air Refueling Capability Modernization,0,0,0,0,5
0605180N,TACAMO Modernization,0,0,0,0,5
0605203A,Army System Development & Demonstration,0,0,0,0,5
0605205A,Small Unmanned Aerial Vehicle (SUAV) (6.5),0,0,0,0,5
0605206A,CI and HUMINT Equipment Program-Army (CIHEP-A),0,0,0,0,5
0605210F,Cyber Mission Resilience,0,0,0,0,5
0605212M,CH-53K RDTE,0,0,0,0,5
0605215N,Mission Planning,0,0,0,0,5
0605216A,Joint Targeting Integrated Command and Coordination Suite (JTIC2S),0,0,0,0,5
0605217N,Common Avionics,0,0,0,0,5
0605220N,Ship to Shore Connector (SSC),0,0,0,0,5
0605223F,Advanced Pilot Training,0,0,0,0,5
0605224A,Multi-Domain Intelligence,0,0,0,0,5
0605229F,HH-60W,0,0,0,0,5
0605231A,Precision Strike Missile (PrSM),0,0,0,0,5
0605232A,Hypersonics EMD,0,0,0,0,5
0605233A,Accessions Information Environment (AIE),0,0,0,0,5
0605235A,Strategic Mid-Range Capability,0,0,0,0,5
0605236A,Integrated Tactical Communications,0,0,0,0,5
0605238F,Ground Based Strategic Deterrent EMD,0,0,0,0,5
0605241A,Future Long Range Assault Aircraft Development,0,0,0,0,5
0605242A,Theater SIGINT System (TSIGS),0,0,0,0,5
0605244A,Joint Reduced Range Rocket (JR3),0,0,0,0,5
0605247A,Spectrum Situational Awareness System (S2AS),0,0,0,0,5
0605278F,HC/MC-130 Recap RDT&E,0,0,0,0,5
0605285N,Next Generation Fighter,0,0,0,0,5
0605296F,Microelectronics Secure Enclave,0,0,0,0,5
0605301A,Army Kwajalein Atoll,0,0,0,0,5
0605326A,Concepts Experimentation Program,0,0,0,0,5
0605327N,T-AO 205 Class,0,0,0,0,5
0605450A,Joint Air-to-Ground Missile (JAGM),0,0,0,0,5
0605450M,Joint Air-to-Ground Missile (JAGM),0,0,0,0,5
0605457A,Army Integrated Air and Missile Defense (AIAMD),0,0,0,0,5
0605500N,Multi-mission Maritime Aircraft (MMA),0,0,0,0,5
0605502A,Small Business Innovative Research,0,0,0,0,5
0605502C,Small Business Innovation Research - MDA,0,0,0,0,5
0605502E,Small Business Innovative Research,0,0,0,0,5
0605502F,Small Business Innovation Research,0,0,0,0,5
0605502N,Small Business Innovative Research,0,0,0,0,5
0605502S,Small Business Innovative Research,0,0,0,0,5
0605504N,Multi-Mission Maritime (MMA) Increment III,0,0,0,0,5
0605512N,MEDIUM UNMANNED SURFACE VEHICLES (MUSVs)),0,0,0,0,5
0605513N,Unmanned Surface Vehicle Enabling Capabilities,0,0,0,0,5
0605514M,GROUND BASED ANTI-SHIP MISSILE,0,0,0,0,5
0605516M,LONG RANGE FIRES,0,0,0,0,5
0605516N,Long Range Fires,0,0,0,0,5
0605518N,CONVENTIONAL PROMPT STRIKE (CPS),0,0,0,0,5
0605520M,MARINE CORPS AIR DEFENSE WEAPONS SYSTEMS,0,0,0,0,5
0605531A,Counter - Small Unmanned Aircraft Systems Sys Dev & Demonstration,0,0,0,0,5
0605601A,Army Test Ranges and Facilities,0,0,0,0,5
0605602A,Army Technical Test Instrumentation and Targets,0,0,0,0,5
0605604A,Survivability/Lethality Analysis,0,0,0,0,5
0605606A,Aircraft Certification,0,0,0,0,5
0605611M,Marine Corps Assault Vehicles System Development & Demonstration,0,0,0,0,5
0605625A,Manned Ground Vehicle,0,0,0,0,5
0605706A,Materiel Systems Analysis,0,0,0,0,5
0605709A,Exploitation of Foreign Items,0,0,0,0,5
0605712A,Support of Operational Testing,0,0,0,0,5
0605712F,Initial Operational Test & Evaluation,0,0,0,0,5
0605716A,Army Evaluation Center,0,0,0,0,5
0605718A,Army Modeling & Sim X-Cmd Collaboration & Integ,0,0,0,0,5
0605766A,National Capabilities Integration (MIP),0,0,0,0,5
0605801A,Programwide Activities,0,0,0,0,5
0605803A,Technical Information Activities,0,0,0,0,5
0605804N,Technical Information Services,0,0,0,0,5
0605805A,Munitions Standardization, Effectiveness and Safety,0,0,0,0,5
0605807F,Test and Evaluation Support,0,0,0,0,5
0605812A,Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Phase (EMD),0,0,0,0,5
0605813M,Joint Light Tactical Vehicle (JLTV) System Development & Demonstration,0,0,0,0,5
0605827F,Acq Workforce- Global Vig & Combat Sys,0,0,0,0,5
0605828F,Acq Workforce- Global Reach,0,0,0,0,5
0605829F,Acq Workforce- Cyber, Network, & Bus Sys,0,0,0,0,5
0605830A,Aviation Ground Support Equipment,0,0,0,0,5
0605831F,Acq Workforce- Capability Integration,0,0,0,0,5
0605832F,Acq Workforce- Advanced Prgm Technology,0,0,0,0,5
0605833F,Acq Workforce- Nuclear Systems,0,0,0,0,5
0605853N,Management, Technical  & International Support,0,0,0,0,5
0605856N,Strategic Technical Support,0,0,0,0,5
0605857A,Environmental Quality Technology Mgmt Support,0,0,0,0,5
0605863N,RDT&E Ship and Aircraft Support,0,0,0,0,5
0605864N,Test and Evaluation Support,0,0,0,0,5
0605865N,Operational Test and Evaluation Capability,0,0,0,0,5
0605866N,Navy Space and Electronic Warfare (SEW) Support,0,0,0,0,5
0605873M,Marine Corps Program Wide Support,0,0,0,0,5
0605898A,Army Direct Report Headquarters - R&D - MHA,0,0,0,0,5
0605898E,Management HQ - R&D,0,0,0,0,5
0605898F,Management HQ - R&D,0,0,0,0,5
0605898N,Management HQ - R&D,0,0,0,0,5
0605976F,Facilities Restoration and Modernization - Test and Evaluation Support,0,0,0,0,5
0605978F,Facilities Sustainment - Test and Evaluation Support,0,0,0,0,5
0606003A,CounterIntel and Human Intel Modernization,0,0,0,0,5
0606004F,Nuclear Enterprise Research & Development,0,0,0,0,5
0606005F,Digital Transformation Office,0,0,0,0,5
0606017F,Requirements Analysis and Maturation,0,0,0,0,5
0606018F,NC3 Integration,0,0,0,0,5
0606118A,AIAMD Software Development & Integration,0,0,0,0,5
0606295M,Marine Aviation Developmental Management and Support,0,0,0,0,5
0606355N,Warfare Innovation Management,0,0,0,0,5
0606398F,Management HQ - T&E,0,0,0,0,5
0606942A,Assessments and Evaluations Cyber Vulnerabilities,0,0,0,0,5
0607101A,Combating Weapons of Mass Destruction (CWMD) Product Improvement,0,0,0,0,5
0607131A,Weapons and Munitions Product Improvement Programs,0,0,0,0,5
0607136A,Blackhawk Product Improvement Program,0,0,0,0,5
0607137A,Chinook Product Improvement Program,0,0,0,0,5
0607138A,UAS Payload Interoperability,0,0,0,0,5
0607139A,Improved Turbine Engine Program,0,0,0,0,5
0607142A,Aviation Rocket System Product Improvement and Development,0,0,0,0,5
0607143A,Unmanned Aircraft System Universal Products,0,0,0,0,5
0607145A,Apache Future Development,0,0,0,0,5
0607148A,AN/TPQ-53 Counterfire Target Acquisition Radar System,0,0,0,0,5
0607150A,Intel Cyber Development,0,0,0,0,5
0607212A,TENCAP Enhancements,0,0,0,0,5
0607312A,Army Operational Systems Development,0,0,0,0,5
0607313A,Electronic Warfare Development,0,0,0,0,5
0607327T,Global Theater Security Cooperation Management Information Systems (G-TSCMIS),0,0,0,0,5
0607658N,Cooperative Engagement Capability (CEC),0,0,0,0,5
0607665A,Family of Biometrics,0,0,0,0,5
0607865A,Patriot Product Improvement,0,0,0,0,5
0608013N,Risk management Information - Software Pilot Program,0,0,0,0,5
0608041A,Defensive CYBER - Software Prototype Development,0,0,0,0,5
0608231N,Maritime Tactical Command and Control (MTC2) - Software Pilot Program,0,0,0,0,5
0609135A,Counter Unmanned Aerial Systems (UAS) Agile Development,0,0,0,0,5
0609277A,Electronic Warfare Agile Development,0,0,0,0,5
0609278A,Electronic Warfare Agile Systems Development,0,0,0,0,5
0609345A,Unmanned Aerial Systems Launched Effects Agile Systems Development,0,0,0,0,5
0609346A,UAS Launched Effects Agile Development,0,0,0,0,5
0701200F,Enterprise Select Class II,0,0,0,0,5
0701212F,Automated Test Systems,0,0,0,0,5
0702207N,Depot Maintenance (Non-IF),0,0,0,0,5
0702806F,Acquisition and Management Support,0,0,0,0,5
0708012K,Logistics Support Activities,0,0,0,0,5
0708012S,Pacific Disaster Centers,0,0,0,0,5
0708045A,End Item Industrial Preparedness Activities,0,0,0,0,5
0708047S,Defense Property Accountability System,0,0,0,0,5
0708051F,Rapid Sustainment Modernization (RSM),0,0,0,0,5
0708081D,Chemical Materials Agency,0,0,0,0,5
0708083D,Assembled Chemical Weapons Alternatives,0,0,0,0,5
0708730N,Maritime Technology (MARITECH),0,0,0,0,5
0801380F,AF LVC Operational Training (LVC-OT),0,0,0,0,5
0804743F,Other Flight Training,0,0,0,0,5
0804772F,Training Developments,0,0,0,0,5
0804776F,Advanced Distributed Learning,0,0,0,0,5
0808736F,Special Victim Accountability and Investigation,0,0,0,0,5
0808737F,Integrated Primary Prevention,0,0,0,0,5
0901202F,Joint Personnel Recovery Agency,0,0,0,0,5
0901218F,Civilian Compensation Program,0,0,0,0,5
0901220F,Personnel Administration,0,0,0,0,5
0901226F,Air Force Studies and Analysis Agency,0,0,0,0,5
0901410F,Contracting Information Technology System,0,0,0,0,5
0901517X,Inspector General, DoD, Audit, Intelligence and Non-Criminal Investigative Activities,0,0,0,0,5
0901538F,Financial Management Information Systems Development,0,0,0,0,5
0901554F,Defense Enterprise Acntng and Mgt Sys (DEAMS),0,0,0,0,5
0901598C,Management HQ - MDA,0,0,0,0,5
0902498N,Management Headquarters (Departmental Support Activities),0,0,0,0,5
0903235K,Joint Service Provider (JSP),0,0,0,0,5
0904903D,Defense-Wide Resources,0,0,0,0,5
0909999A,Financing for Cancelled Account Adjustments,0,0,0,0,5
0909999F,Financing for Cancelled Account Adjustments,0,0,0,0,5
0909999N,Financing for Cancelled Account Adjustments,0,0,0,0,5
1001004F,International Activities,0,0,0,0,5
1201921F,Service Support to STRATCOM - Space Activities,0,0,0,0,5
1202140F,Service Support to SPACECOM Activities,0,0,0,0,5
1203176F,Combat Survivor Evader Locator,0,0,0,0,5
1203610K,Teleport Program,0,0,0,0,5
1206893S,Tactical SATCOM Agility,0,0,0,0,5
(809 rows)
